门店名称,款式,商品性质,Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售)
城中店,带帽,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,鞋,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
城中店,鞋,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,短裙（膝盖以上）,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
城中店,套衫短板毛衣,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,开衫,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,短袖,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,短袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,格子,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
城中店,立领,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中店,中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,套衫短板卫衣,停止进货,,,,,,,,,63,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,套衫短板卫衣,清理,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,中袖短板T恤,停止进货,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,中袖短板T恤,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,长裤,停止进货,,,,,25,22,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
博乐店,长裤,正常补货,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
博乐店,长裤,清理,,,,,27,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,长裤,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,[未知],停止进货,5,4,,,2,1,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
博乐店,[未知],正常补货,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,
博乐店,[未知],新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,短袖短板T恤,正常补货,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,短袖短板T恤,停止进货,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,9,停止进货,,,,,3,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
博乐店,9,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,条纹,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,
博乐店,带帽,停止进货,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,正常夹克,停止进货,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,正常夹克,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,短袖,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,短袖,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,短袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,长袖,停止进货,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
博乐店,正常风衣（外套）,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,正常风衣（外套）,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
博乐店,开衫,清理,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
博乐店,开衫,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,无领长袖,停止进货,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,中袖,停止进货,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,上下套装,停止进货,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
博乐店,上下套装,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,长袖短板T恤,停止进货,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博乐店,套头,停止进货,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,中袖短板T恤,停止进货,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,套衫短板卫衣,停止进货,,,,,,,,,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,套衫短板卫衣,清理,,,,,,,,,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,正常夹克,停止进货,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,正常夹克,清理,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,上下套装,清理,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
华浦店,上下套装,停止进货,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
华浦店,短袖短板T恤,正常补货,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,短袖短板T恤,停止进货,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,长裤,清理,,,,,9,1,,,,,,,,,,,,,,,9,13,,,,,,,,,,,,,,,,
华浦店,长裤,停止进货,,,,,5,7,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
